"","cytof","linear_aic","quadratic_aic","pval","a","b","class","pattern"
"1","Bcells_CREB_IFNa",-1159.4545096919,-1158.99982707284,0.948325594686282,-2.90817583269959e-05,0.00188546006242014,"linear","linear"
"2","Bcells_CREB_IL246",-1204.77520602976,-1203.30101309317,0.62180925941835,-1.46101169932336e-05,0.000906799503489976,"linear","linear"
"3","Bcells_CREB_unstim",-1310.26594623484,-1310.41748772731,0.173403502418876,-2.07360898136323e-05,0.00127681238844349,"quadratic","deceleration/increase"
"4","Bcells_ERK_IL246",-948.964399923486,-950.992067513719,0.0479883601026238,-9.43111517231334e-05,0.00583427026145428,"quadratic","deceleration/increase"
"5","Bcells_ERK_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"6","Bcells_IkB_IFNa",-742.721228494088,-740.859467721127,0.292073541845762,3.49726228304612e-05,-0.00188587788489514,"linear","linear"
"7","Bcells_IkB_IL246",-742.831577237477,-742.352882031218,0.660630219157735,-0.000115707298314989,0.00732304213005637,"linear","linear"
"8","Bcells_IkB_unstim",-507.658316139375,-510.969665965591,0.00333510901152161,-0.000470511607839212,0.0284532839183567,"quadratic","deceleration/increase"
"9","Bcells_MAPKAPK2_IFNa",-642.448592220351,-641.799486203717,0.335882588338519,-0.000152407267106989,0.0103287978655917,"linear","linear"
"10","Bcells_MAPKAPK2_IL246",-654.395324567784,-653.495158159819,0.248249165739186,-0.000132204227143173,0.00799385756013769,"linear","linear"
"11","Bcells_MAPKAPK2_LPS",-602.896330950794,-603.832581932179,0.00204878318219509,-0.000255684620280082,0.018301610303689,"quadratic","deceleration/increase"
"12","Bcells_MAPKAPK2_unstim",-339.693683210961,-339.886143741643,0.189049962623044,-0.000531906880151566,0.0328956618136408,"quadratic","deceleration/increase"
"13","Bcells_NFkB_IFNa",-613.199519475137,-611.248132056837,0.240670570180407,-3.19413777085987e-05,0.00270728037150228,"linear","linear"
"14","Bcells_NFkB_IL246",-573.025586435999,-571.030986275843,0.7070243313509,1.21719102988649e-05,-0.000551845711958738,"linear","linear"
"15","Bcells_NFkB_unstim",-356.530606262701,-358.674703556126,0.0168774679282153,-0.000689133045848705,0.0419157942379107,"quadratic","deceleration/increase"
"16","Bcells_p38_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"17","Bcells_S6_IFNa",-628.926593693061,-627.135636677633,0.311333939109734,-6.28367509753919e-05,0.00458746248894515,"linear","linear"
"18","Bcells_S6_IL246",-572.303632630046,-570.421862164604,0.800375831876948,5.70814196164818e-05,-0.00353112058509653,"linear","linear"
"19","Bcells_S6_LPS",-489.188834930101,-487.217764200788,0.184175809326379,3.72551352055774e-05,-0.00130744999325016,"linear","linear"
"20","Bcells_S6_unstim",-43.8864986172845,-41.9886140251822,0.350582871276301,-0.000308781468035212,0.0233663487866493,"linear","linear"
"21","Bcells_STAT1_IFNa",-103.803424966575,-107.007691336362,9.41035595077963e-12,-0.00179004743610411,0.137590313797178,"quadratic","deceleration/increase"
"22","Bcells_STAT1_unstim",-596.935786154978,-594.98661999462,0.309652825416236,-3.44824659781495e-05,0.00164162577986854,"linear","linear"
"23","Bcells_STAT3_IFNa",39.1871360295468,34.9643654372098,0.00563776083982207,-0.00314734374097904,0.213443581676865,"quadratic","deceleration/increase"
"24","Bcells_STAT3_IL246",-78.7587347938756,-77.0424103402626,0.0593250896779726,-0.000458038957454678,0.0357630436643314,"linear","linear"
"25","Bcells_STAT3_unstim",-146.431999754199,-144.482833593841,0.309652825416236,-0.00015479942556504,0.00736962164705506,"linear","linear"
"26","Bcells_STAT5_IFNa",-41.1870286904574,-40.8465858174381,0.00274525349137783,-0.0012528046744437,0.092162400485553,"linear","linear"
"27","Bcells_STAT5_IL246",-129.793745070666,-127.816191254648,0.000862827920628573,0.0001087354194519,0.00226774840152147,"linear","linear"
"28","Bcells_STAT5_unstim",-244.011611404695,-242.05158901768,0.322283123273346,-9.91626715124805e-05,0.00455462624771127,"linear","linear"
"29","Bcells_STAT6_IFNa",50.2916406886499,40.6936442284567,0.00271292172279999,-0.00441943737506733,0.282286009164164,"quadratic","deceleration/increase"
"30","Bcells_STAT6_IL246",196.984569832402,194.691423962315,0.0734526528928353,-0.00443776025728823,0.295064282596213,"quadratic","deceleration/increase"
"31","Bcells_STAT6_unstim",-252.663002539621,-250.713836379263,0.309652825416236,-0.000108638614186148,0.00517201843540379,"linear","linear"
"32","CD4negCD8negTcells_CREB_IFNa",-827.223997503957,-826.860879202393,0.0905606101332939,-9.05747681082424e-05,0.00630977847763635,"linear","linear"
"33","CD4negCD8negTcells_CREB_IL246",-548.465061693626,-552.982932012553,0.0196230072405872,-0.000454024576766059,0.0285193589471799,"quadratic","deceleration/increase"
"34","CD4negCD8negTcells_CREB_unstim",-497.317781401274,-498.311982623306,0.0292843456025651,-0.000367068660512133,0.0220777845289881,"quadratic","deceleration/increase"
"35","CD4negCD8negTcells_ERK_IFNa",-678.585111813264,-677.005874998251,0.722332318542354,-7.55220077430402e-05,0.00503763410069082,"linear","linear"
"36","CD4negCD8negTcells_ERK_IL246",-496.658233475619,-500.682301882047,0.0122333043270899,-0.000519187768911633,0.0321756925540565,"quadratic","deceleration/increase"
"37","CD4negCD8negTcells_ERK_unstim",-325.26741961958,-323.801046062101,0.0457568664402129,-0.000276103192429996,0.0149762201453904,"linear","linear"
"38","CD4negCD8negTcells_IkB_IFNa",-727.505458502871,-725.50828917158,0.152576525602706,5.26601589044943e-06,0.000195560792471485,"linear","linear"
"39","CD4negCD8negTcells_IkB_IL246",-711.841905258002,-709.982558962897,0.201826468495348,-3.91010838136381e-05,0.00303079995984685,"linear","linear"
"40","CD4negCD8negTcells_IkB_unstim",-492.79605271216,-491.621015109923,0.0130078262542075,-0.000196307359230715,0.0106395921613259,"linear","linear"
"41","CD4negCD8negTcells_MAPKAPK2_IFNa",-746.815387132834,-744.821351056376,0.00169194680441744,-7.16716535122581e-06,0.00158096368346131,"linear","linear"
