"","cytof","linear_aic","quadratic_aic","pval","a","b","class","pattern"
"1","Bcells_CREB_IFNa",-Inf,-Inf,NA,0,0,"linear","linear"
"2","Bcells_CREB_IL246",-Inf,-Inf,NA,0,0,"linear","linear"
"3","Bcells_CREB_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"4","Bcells_ERK_IL246",-92.0052979085223,-90.6558189851111,0.635584676032658,-3.79499585790179e-06,-0.000331205969767234,"linear","linear"
"5","Bcells_ERK_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"6","Bcells_IkB_IFNa",-64.8686015774522,-63.7812649378375,0.862855164943007,1.17930477652272e-05,0.000842581873426735,"linear","linear"
"7","Bcells_IkB_IL246",-68.8478767471381,-67.105488619077,0.91190323388691,5.49892476597178e-06,0.000437775899510437,"linear","linear"
"8","Bcells_IkB_unstim",-48.4869606168369,-46.5294689342149,0.569746547178342,-4.63986497254908e-06,-0.000609987563322941,"linear","linear"
"9","Bcells_MAPKAPK2_IFNa",-75.2830305562781,-73.5202851652488,0.134716590039625,-4.19514539340831e-06,-4.00811993066082e-05,"linear","linear"
"10","Bcells_MAPKAPK2_IL246",-70.1552653159823,-68.229887547114,0.191300599139925,-2.83378572834755e-06,-0.00049848233722448,"linear","linear"
"11","Bcells_MAPKAPK2_LPS",-65.9950638818643,-64.4575141449136,0.216396278389073,8.12819648929261e-06,0.000923081976392587,"linear","linear"
"12","Bcells_MAPKAPK2_unstim",-26.7999646023397,-25.5933753823495,0.862802952206972,4.29140487696759e-05,0.00339717274918484,"linear","linear"
"13","Bcells_NFkB_IFNa",-63.4725446242627,-61.7206165735092,0.433515041630808,6.53930530487956e-06,0.000703640812209497,"linear","linear"
"14","Bcells_NFkB_IL246",-57.318291690708,-56.1876918260516,0.974617539743651,1.50841822703388e-05,0.00112333377694651,"linear","linear"
"15","Bcells_NFkB_unstim",-38.1689362443001,-36.7797285877087,0.240845581678891,-2.51688295709269e-05,-0.00268919486064128,"linear","linear"
"16","Bcells_p38_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"17","Bcells_S6_IFNa",-64.5686522686572,-62.5730026752277,0.863989168514749,8.3636104138746e-07,0.000106912254787859,"linear","linear"
"18","Bcells_S6_IL246",-56.0085671939991,-54.0255804760651,0.216419868671319,-2.24489523579356e-06,-0.000614524949286699,"linear","linear"
"19","Bcells_S6_LPS",-59.4516311467227,-57.4576271040145,0.694045790370326,-1.178726426468e-06,3.31341842410406e-05,"linear","linear"
"20","Bcells_S6_unstim",-26.0908828160837,-24.4222559708241,0.422775436600738,-2.86791688067594e-05,-0.00298126310651464,"linear","linear"
"21","Bcells_STAT1_IFNa",-7.53696626722554,-5.68198594207331,0.0566821042039782,3.69269404320864e-05,0.00684363261868531,"linear","linear"
"22","Bcells_STAT1_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"23","Bcells_STAT3_IFNa",-24.2250828730299,-22.7709335574798,0.0469521149299512,3.91949132110132e-05,0.00529976835416122,"linear","linear"
"24","Bcells_STAT3_IL246",-15.6903012858882,-13.9368188657839,0.273889437462542,-3.59174965678853e-05,-0.0043532569902873,"linear","linear"
"25","Bcells_STAT3_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"26","Bcells_STAT5_IFNa",-4.21476848548195,-2.39275641035917,0.441433444623833,4.6036145321851e-05,0.00173134914791588,"linear","linear"
"27","Bcells_STAT5_IL246",-9.85922147021348,-7.90821375030331,0.195652300762658,-1.97887410835195e-05,-0.00392093661445607,"linear","linear"
"28","Bcells_STAT5_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"29","Bcells_STAT6_IFNa",-6.66737701384419,-5.96304921023777,0.35945860745917,-0.000111562470387653,-0.0102827499347637,"linear","linear"
"30","Bcells_STAT6_IL246",-17.9808697678775,-16.4418428084498,0.218626003566555,-4.5085388789831e-05,-0.00511392310114174,"linear","linear"
"31","Bcells_STAT6_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"32","CD4negCD8negTcells_CREB_IFNa",-74.359810803287,-72.5602092578861,0.800299196173441,3.9874162311219e-06,0.000345624964996236,"linear","linear"
"33","CD4negCD8negTcells_CREB_IL246",-42.0404155529845,-40.5155080322676,0.577660929434763,1.93777007432617e-05,0.00177868545994775,"linear","linear"
"34","CD4negCD8negTcells_CREB_unstim",-45.0152146364282,-43.7800501386398,0.635877850398622,-2.19951063163991e-05,-0.00189919581534999,"linear","linear"
